scenario,strategy,concurrency,backend_ms,iteration,actual_loads,expected_loads,duplicate_loads,amplification,throughput,p50_ms,p95_ms,p99_ms,max_ms,lock_contentions,unrelated_key_wait_ms,flights_created,coalesced_callers,peak_waiters,ttl_ms,request_count,successful_requests,cache_hits,cache_misses,peak_concurrent_loads,lock_acquisitions,lock_wait_ms,unrelated_key_contentions,coalescing_ratio,b_request_latency_ms,shuffle_seed,wave_offset_ms
HotKeyBurst,GlobalLock,64,100,4,1,1,0,1,578.83717039066983,110.4751,110.5234,110.5239,110.5239,63,0,0,0,0,1000,64,64,0,64,1,64,6961.143,0,0,0,,0
HotKeyBurst,GlobalLock,64,100,5,1,1,0,1,627.07227791843354,101.9213,101.9592,101.96040000000001,101.96040000000001,63,0,0,0,0,1000,64,64,0,64,1,64,6420.7322999999997,0,0,0,,0
HotKeyBurst,SingleFlight,64,100,1,1,1,0,1,629.80967938751007,101.5223,101.5348,101.5359,101.5359,0,0,1,63,63,1000,64,64,0,64,1,0,0,0,0.984375,0,,0
HotKeyBurst,SingleFlight,64,100,2,1,1,0,1,575.05397869964122,110.7145,110.86150000000001,111.2136,111.2136,0,0,1,63,63,1000,64,64,0,64,1,0,0,0,0.984375,0,,0
HotKeyBurst,SingleFlight,64,100,3,1,1,0,1,624.79742895857987,102.3656,102.38800000000001,102.3965,102.3965,0,0,1,63,63,1000,64,64,0,64,1,0,0,0,0.984375,0,,0
HotKeyBurst,SingleFlight,64,100,4,1,1,0,1,579.45873122078376,110.36709999999999,110.36969999999999,110.4143,110.4143,0,0,1,63,63,1000,64,64,0,64,1,0,0,0,0.984375,0,,0
HotKeyBurst,SingleFlight,64,100,5,1,1,0,1,578.84188210437969,110.51139999999999,110.51990000000001,110.5211,110.5211,0,0,1,63,63,1000,64,64,0,64,1,0,0,0,0.984375,0,,0
HotKeyBurst,NaiveCacheAside,128,20,1,128,1,127,128,4854.6082748315112,26.1431,26.219200000000001,26.2302,26.285399999999999,0,0,0,0,0,1000,128,128,0,128,128,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,128,20,2,128,1,127,128,5604.7675554018142,22.682600000000001,22.752400000000002,22.760200000000001,22.830100000000002,0,0,0,0,0,1000,128,128,0,128,128,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,128,20,3,128,1,127,128,5538.0807954068541,23.0413,23.0886,23.098299999999998,23.104800000000001,0,0,0,0,0,1000,128,128,0,128,128,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,128,20,4,128,1,127,128,5638.2449200734736,22.531500000000001,22.582699999999999,22.591799999999999,22.6188,0,0,0,0,0,1000,128,128,0,128,128,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,128,20,5,128,1,127,128,5618.1994548590837,22.6356,22.6965,22.713899999999999,22.7392,0,0,0,0,0,1000,128,128,0,128,128,0,0,0,0,0,,0
HotKeyBurst,GlobalLock,128,20,1,1,1,0,1,5084.5101193668197,24.825099999999999,24.9894,25.015699999999999,25.016500000000001,127,0,0,0,0,1000,128,128,0,128,1,128,3156.7521000000002,0,0,0,,0
HotKeyBurst,GlobalLock,128,20,2,1,1,0,1,5822.0985026290418,21.5488,21.767800000000001,21.810500000000001,21.8111,127,0,0,0,0,1000,128,128,0,128,1,128,2741.7556,0,0,0,,0
HotKeyBurst,GlobalLock,128,20,3,1,1,0,1,5665.7223796033995,22.097899999999999,22.482199999999999,22.4862,22.4864,127,0,0,0,0,1000,128,128,0,128,1,128,2814.6596,0,0,0,,0
HotKeyBurst,GlobalLock,128,20,4,1,1,0,1,6070.1193632065406,20.926400000000001,20.958400000000001,20.963899999999999,20.964500000000001,127,0,0,0,0,1000,128,128,0,128,1,128,2654.1019999999999,0,0,0,,0
HotKeyBurst,GlobalLock,128,20,5,1,1,0,1,5462.2422504438073,23.0989,23.334299999999999,23.347300000000001,23.347899999999999,127,0,0,0,0,1000,128,128,0,128,1,128,2938.0079999999998,0,0,0,,0
HotKeyBurst,SingleFlight,128,20,1,1,1,0,1,5965.9474903402916,21.3474,21.369499999999999,21.371400000000001,21.412800000000001,0,0,1,127,127,1000,128,128,0,128,1,0,0,0,0.9921875,0,,0
